sampling_measure,R,Theta_1,Theta_2,Phi,V_reference,V_candidate,absolute_disagreement,normalized_disagreement,gradient_disagreement_cm1_per_rad,reference_high_candidate_below_warning,reference_above_1000_candidate_below_1000,selection_reason
coordinate-uniform,5,92.611759630031884,77.275326596237733,143.76456509884446,-29.782591280887189,-30.202913028230444,0.42032174734325523,0.42032174734325523,2.061841836228532,False,False,largest normalized disagreement
coordinate-uniform,5,89.798874444700786,94.95337929736823,45.966399255618448,-36.742920859658348,-37.17891708735003,0.43599622769168178,0.43599622769168178,2.307684204443647,False,False,largest normalized disagreement
coordinate-uniform,5,87.920335675701494,92.647123591303824,137.67731475021691,-43.849767995434206,-44.288356062139584,0.43858806670537831,0.43858806670537831,3.9557940129437976,False,False,largest normalized disagreement
coordinate-uniform,5,88.996508680097762,86.642559299245491,34.663662522956727,-66.798702061106567,-67.295486380862016,0.49678431975544868,0.49678431975544868,0.95568352330551831,False,False,largest normalized disagreement
coordinate-uniform,5,178.60552229851484,1.0182799847424031,28.835760270729665,25323.501937678659,25331.416568903696,7.9146312250377377,0.031254094494970359,23.37586970256104,False,False,largest absolute disagreement
coordinate-uniform,5,0.37916326090693475,173.85679797604681,62.727098484523594,25290.686054033951,25298.611897237348,7.9258432033966528,0.031338980628927829,7.966579474529861,False,False,largest absolute disagreement
coordinate-uniform,5,1.3140147643536331,179.61712462484837,98.220539064221072,25326.56385386637,25334.518064465803,7.9542105994332815,0.031406592087773431,22.003080949761156,False,False,largest absolute disagreement
coordinate-uniform,5,0.69256086498498914,2.6738539944961666,176.78557330023497,25357.676075405823,25365.763242892939,8.0871674871159485,0.031892384235318857,12.119218147152647,False,False,largest absolute disagreement
coordinate-uniform,5,179.39144688360392,177.74192187342791,62.495524491146206,25354.812592848877,25362.933038663283,8.1204458144056844,0.032027236583464201,10.404069021101346,False,False,largest absolute disagreement
coordinate-uniform,5,6.3391298162564631,1.7381243187189099,8.1233307260647418,24101.80057453605,24105.466433759982,3.6658592239327845,0.015209897752642702,59.435343061023396,False,False,largest gradient disagreement
coordinate-uniform,5,5.3649097920209172,174.76221071373669,70.322471367828555,24470.189993298907,24474.756721280581,4.5667279816734663,0.018662413258434249,59.584482990685011,False,False,largest gradient disagreement
