design_position,orientation_id,Theta_1,Theta_2,Phi,leverage
172,198,73.310000000000002,48.719999999999999,83.430000000000007,0.31482455088247757
173,375,138.30000000000001,66.079999999999998,158.40000000000001,0.36610861840810893
174,244,91.540000000000006,47.920000000000002,163.69,0.42604489388449329
175,321,114.5,56.75,129.78,0.47234225191860801
176,401,148.52000000000001,172.03,33.829999999999998,0.25991951273492953
177,436,158.81,120.69,92.480000000000004,0.4038202680455979
178,370,136.72,151.5,177.75999999999999,0.51705439576140133
179,325,115.66,58.579999999999998,103.15000000000001,0.47455597036665431
180,425,155.75999999999999,163.38,149.28999999999999,0.20444957676767311
181,163,60.359999999999999,123.23,9.4299999999999997,0.60805967736390421
182,88,34.299999999999997,54.359999999999999,29.07,0.32577068490282124
183,137,53.189999999999998,64.739999999999995,4.9100000000000001,0.51224519151418479
184,41,14.59,92.5,48.479999999999997,0.37818037173505659
185,266,96.590000000000003,11.630000000000001,166.69999999999999,0.27772092674041382
186,337,125.68000000000001,70.760000000000005,87.730000000000004,0.4754678744798479
187,183,68.099999999999994,155.36000000000001,150.91999999999999,0.30491352058005972
188,437,159.13,78.829999999999998,86.549999999999997,0.42831523469498189
189,348,129.28,174.36000000000001,1.8400000000000001,0.24089064768328547
190,214,79.890000000000001,118.84999999999999,50.090000000000003,0.39105069415836669
191,91,34.740000000000002,72.790000000000006,139.94,0.53364041466501344
192,358,133.16,128.65000000000001,96.920000000000002,0.43355936653419103
193,260,95.760000000000005,119.37,75.069999999999993,0.20933386892866818
194,64,25.579999999999998,90.140000000000001,22.129999999999999,0.47960160148209563
195,468,168.77000000000001,155.34,145.53999999999999,0.30699745394241873
196,495,178.59999999999999,14.77,48.329999999999998,0.16300585034231724
197,176,65.120000000000005,153.56999999999999,47.579999999999998,0.29140781128611604
198,405,149.84999999999999,140.15000000000001,154.21000000000001,0.40479946037640024
199,36,11.91,142.74000000000001,110.45999999999999,0.19249422944221484
200,295,105.78,108.81,50.359999999999999,0.49007466038700104
201,93,35,67.510000000000005,91.719999999999999,0.51379278302605369
202,112,42.259999999999998,177.66,77.159999999999997,0.2957791654751688
203,356,132.63999999999999,86.409999999999997,118.33,0.52432357183672917
204,79,29.219999999999999,139.28999999999999,167.34999999999999,0.31693607402195961
205,148,57.270000000000003,121.8,69.260000000000005,0.45430574111908784
206,113,45.859999999999999,99.870000000000005,3.0699999999999998,0.51872364768622004
207,413,152.49000000000001,133.05000000000001,72.730000000000004,0.34020573970521295
208,21,6.7000000000000002,116.59999999999999,75.769999999999996,0.26449295443077031
