training_points,removed_position,removed_orientation,removed_leverage,replacement_orientation,replacement_leverage,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
161,98,452,0.3538321027586645,294,0.14745033504606417,158,53.475228244534506,0.60528701756449377,0.39471298243550623,1.6521087863799249,4.4000000000000004,5000.5987660983346,False,True
161,99,47,0.3494316344719004,294,0.14745033504606417,158,50.530460221979602,0.58311195721014175,0.41688804278985825,1.7149365360031885,4.4000000000000004,5000.649861576253,False,True
161,100,169,0.33967409093551715,294,0.14745033504606417,158,76.514253280501805,0.9528140267423475,0.047185973257652503,1.0495227525343853,4.4000000000000004,5000.6332606813203,False,True
161,101,83,0.33123140426658215,294,0.14745033504606417,158,61.886809868827754,1.0838261435410861,-0.083826143541086084,0.92265720471808454,4.4000000000000004,5000.7282766087474,False,False
161,102,186,0.35492655643459309,294,0.14745033504606417,158,56.71518559372084,0.95885848606767532,0.04114151393232468,1.0429067631252324,4.4000000000000004,5000.7125536732919,False,True
161,103,412,0.33873420987063896,294,0.14745033504606417,158,62.380345309137354,0.54954689172123361,0.45045310827876639,1.8196809318089382,4.4000000000000004,5000.6438610653622,False,True
161,104,441,0.30655533665932944,294,0.14745033504606417,158,51.851294900425764,0.48747727602964186,0.51252272397035814,2.0513776727085702,4.4000000000000004,5000.5895044988665,False,True
161,105,388,0.37021908629929229,294,0.14745033504606417,158,53.624694782472631,0.78814632246703098,0.21185367753296902,1.2687999315531047,4.4000000000000004,5000.6082824332561,False,True
161,106,394,0.49623180251569293,294,0.14745033504606417,158,76.954889395843907,0.57154911313323598,0.42845088686676402,1.7496309188863814,4.4000000000000004,5000.6846501292184,False,True
161,107,283,0.31614023452503065,294,0.14745033504606417,158,60.02607287906892,1.3584122660428317,-0.35841226604283172,0.73615354115807818,4.4000000000000004,5000.620643078114,False,False
161,108,224,0.31407152759038187,294,0.14745033504606417,158,90.470003626525497,1.2441786989846857,-0.24417869898468569,0.8037430642527893,4.4000000000000004,5000.6491593757792,False,False
161,109,351,0.27722263573446948,294,0.14745033504606417,158,65.904977592263805,0.43993934145518437,0.56006065854481557,2.273040634857312,4.4000000000000004,5000.6837778339232,False,True
161,110,353,0.33187939745072076,294,0.14745033504606417,158,56.070145493603469,0.558946246208194,0.441053753791806,1.7890808047890963,6.4000000000000004,5000.5684320905439,False,True
161,111,258,0.30005079915659916,294,0.14745033504606417,158,110.9683267678831,1.6440485387419841,-0.64404853874198409,0.60825454749967045,5.2000000000000002,5000.7059237050426,False,False
